Eskisehir
Erzurum-Izmir
Adana#0 618 844 658 946 896 1048 347 888 443
Antalya#618 0 1238 415 694 454 1440 302 1497 676
Erzurum#844 1238 0 1116 1234 1467 204 932 379 661
Eskisehir#658 415 1116 0 322 412 1318 339 1436 456
Istanbul#946 694 1234 322 0 471 1436 711 1661 661
Izmir#896 454 1467 412 471 0 1671 557 1775 809
Kars#1048 1440 204 1318 1436 1671 0 1134 360 862
Konya#347 302 932 339 711 557 1134 0 1224 367
Van#888 1497 379 1436 1661 1775 360 1224 0 1014
Yozgat#443 676 661 456 661 809 862 367 1014 0
